,Date,Ticker,Company Name,pred,prof0.0,prof-1.0,prof1.0,return1,return1&2,return1&2&3,return1&2&3&4
0,20200102,ACCR,ACCESS-POWER INC,1.0,0.13224937,0.35042727,0.5173234,1.0705882352941176,1.2941176470588234,1.1764705882352942,0.9411764705882354
1,20200103,HURC,HURCO COMPANIES INC,1.0,0.1683873,0.32692736,0.50468534,0.975907029478458,0.9606009070294784,0.9520975056689344,0.9382086167800454
2,20200107,CCRE,CAN CAL RESOURCES LTD,1.0,0.13143167,0.3710873,0.49748105,1.0,1.0,1.0,1.0
3,20200107,CNCN,Chun Can Capital Group,1.0,0.09989328,0.35874775,0.541359,1.0,1.0,1.0,0.6
4,20200110,UBA,URSTADT BIDDLE PROPERTIES INC,1.0,0.09345341,0.39669909999999997,0.50984746,1.0104865771812082,1.0079697986577183,1.0092281879194631,1.01258389261745
5,20200113,DWOG,DEEP WELL OIL & GAS INC,1.0,0.14697191,0.40530646,0.44772166,1.0,1.0,0.6666666666666667,1.0
6,20200114,MVC,"MVC CAPITAL, INC.",1.0,0.13791232,0.409174,0.45291373,1.009761388286334,1.0119305856832972,1.0010845986984815,1.0010845986984815
7,20200114,LMNR,Limoneira CO,1.0,0.13054574,0.36290523,0.506549,0.9833578071463536,1.0132158590308369,1.0117474302496328,1.0117474302496328
8,20200114,CRYO,AMERICAN CRYOSTEM Corp,1.0,0.13015595,0.36375159999999995,0.50609255,0.9666666666666668,1.0,1.0,1.0
9,20200114,YUMM,YUMMIES INC,1.0,0.17237216,0.36318466,0.4644432,1.0,5.0,5.0,5.0
10,20200116,MMMM,"Quad M Solutions, Inc.",1.0,0.15680204,0.36758602,0.47561195,0.9166666666666669,0.9166666666666669,0.8333333333333335,0.8333333333333335
11,20200121,ADBE,ADOBE INC.,1.0,0.10196637,0.34522015,0.5528135000000001,1.0001714285714285,1.0050285714285712,1.0039142857142855,0.9911428571428568
12,20200121,FREVS,FIRST REAL ESTATE INVESTMENT TRUST OF NEW JERSEY,1.0,0.12213007,0.36909744,0.5087725000000001,1.0,0.9918200408997956,0.9897750511247444,0.9910020449897752
13,20200122,SLB,SCHLUMBERGER LIMITED/NV,1.0,0.21792816,0.28587399999999996,0.49619788,0.9931842966194112,0.9751908396946564,0.9258451472191928,0.9258451472191928
14,20200122,FCEL,FUELCELL ENERGY INC,1.0,0.13548456,0.39217556,0.47233984,0.7927927927927927,0.8198198198198198,0.6936936936936936,0.8153153153153152
15,20200122,NG,NOVAGOLD RESOURCES INC,1.0,0.13376784,0.36583263,0.5003995,1.04176072234763,1.0428893905191874,1.0225733634311511,1.0056433408577878
16,20200123,BSET,BASSETT FURNITURE INDUSTRIES INC,1.0,0.107139446,0.39073488,0.5021256,0.9251968503937008,0.8392388451443569,0.8116797900262467,0.8248031496062992
17,20200124,KSU,KANSAS CITY SOUTHERN,1.0,0.18290916,0.3226735,0.4944174,0.9849921959418898,1.0056429343258495,1.0187297394645216,1.0244327050066036
18,20200124,KBH,KB HOME,1.0,0.12815173,0.41226777,0.45958045,1.0036726128016789,1.0204616998950682,1.0081322140608604,0.9973767051416579
19,20200124,FUL,FULLER H B CO,1.0,0.13845828,0.35251823,0.50902355,0.9954498448810756,1.004343329886246,0.9956566701137538,0.9991726990692864
20,20200124,BRID,BRIDGFORD FOODS CORP,1.0,0.12262756400000001,0.34815896,0.5292134000000001,1.0004235493434983,0.9932232105040236,0.9008894536213471,0.817450232952139
21,20200124,APHD,APPIPHANY TECHNOLOGIES HOLDINGS CORP,1.0,0.11215148,0.36797437,0.5198742000000001,1.0,1.125,0.875,0.875
22,20200127,PSSR,"PASSUR Aerospace, Inc.",1.0,0.12736817,0.39627507,0.4763568,1.0,1.0,1.0084033613445378,0.907563025210084
23,20200127,VYEY,"VICTORY OILFIELD TECH, INC.",1.0,0.10844684,0.3958783,0.4956749,1.0,1.0,1.0,1.0
24,20200127,LEN,LENNAR CORP /NEW/,1.0,0.10632959,0.31795344,0.575717,1.0072819141031355,1.0072819141031355,0.9995541685242976,0.986179224253232
25,20200127,PRGS,PROGRESS SOFTWARE CORP /MA,1.0,0.10955113,0.36227,0.5281789000000001,1.0030381944444444,1.011935763888889,1.0069444444444446,0.9793836805555558
26,20200128,CCL,CARNIVAL CORP,1.0,0.12859808,0.26162106,0.6097809000000001,1.0,0.9623655913978496,0.9361290322580648,0.9193548387096776
27,20200128,CUK,CARNIVAL PLC,1.0,0.12859808,0.26162106,0.6097809000000001,0.9993138151875572,0.9652333028362308,0.9400731930466608,0.9297804208600184
